# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
98=0,4,14;0,4,15;1,4,15;2,3,15;2,4,15
99=0,5,14;0,5,15;0,5,16;0,6,14;1,5,16
100=1,5,14;1,5,15;2,5,14;3,5,14;3,6,14
101=2,5,15;3,5,15;3,6,15;3,7,14;3,7,15
102=0,0,15;0,0,16;0,0,17;0,1,15;1,0,17
103=1,0,16;1,1,16;2,0,16;3,0,15;3,0,16
104=2,2,17;3,1,15;3,2,15;3,2,16;3,2,17
105=0,6,15;0,6,16;1,6,15;2,6,15;2,7,15
106=0,6,17;0,7,15;0,7,16;0,7,17;1,7,15
107=0,1,16;0,1,17;1,1,17;2,0,17;2,1,17
108=2,1,16;2,2,16;2,3,16;2,3,17;3,1,16
109=0,2,16;0,2,17;0,2,18;0,3,16;1,2,18
110=0,4,16;1,2,16;1,2,17;1,3,16;1,4,16
111=0,4,17;0,5,17;1,4,17;2,4,16;2,4,17
112=2,5,16;2,6,16;2,7,16;2,7,17;3,5,16
113=0,7,18;1,6,16;1,7,16;1,7,17;1,7,18
114=2,7,18;3,6,16;3,7,16;3,7,17;3,7,18
115=2,1,19;3,0,17;3,1,17;3,1,18;3,1,19
116=0,2,19;0,3,17;0,3,18;0,3,19;1,3,17
117=2,5,17;3,3,17;3,3,18;3,4,17;3,5,17
118=1,5,17;1,5,18;1,5,19;1,6,17;2,5,19
119=2,6,17;3,6,17;3,6,18;3,6,19;3,7,19
120=0,0,18;0,0,19;1,0,18;2,0,18;2,1,18
121=1,0,19;1,1,19;2,0,19;3,0,18;3,0,19
122=0,0,20;0,1,18;0,1,19;0,1,20;1,1,18
123=2,2,18;3,2,18;3,2,19;3,2,20;3,3,20
124=1,3,18;2,3,18;2,3,19;2,3,20;2,4,20
125=0,3,20;0,4,18;0,4,19;0,4,20;1,4,18
126=1,6,18;2,4,18;2,4,19;2,5,18;2,6,18
127=2,5,20;3,4,18;3,5,18;3,5,19;3,5,20
128=0,5,18;0,5,19;0,5,20;0,6,18;1,5,20
129=1,2,19;1,3,19;1,4,19;1,4,20;2,2,19
130=2,4,21;3,3,19;3,4,19;3,4,20;3,4,21
131=0,6,19;0,6,20;1,6,19;2,6,19;2,7,19
132=0,6,21;0,7,19;0,7,20;0,7,21;1,7,19
133=1,0,20;1,1,20;1,2,20;1,2,21;2,0,20
134=2,1,22;3,0,20;3,1,20;3,1,21;3,1,22
135=1,2,22;2,1,20;2,2,20;2,2,21;2,2,22
136=0,2,20;0,2,21;0,3,21;0,4,21;1,4,21
137=1,3,20;1,3,21;2,3,21;3,2,21;3,3,21
138=1,6,20;1,6,21;2,6,20;3,6,20;3,7,20
139=1,6,22;1,7,20;1,7,21;1,7,22;2,7,20
140=0,0,21;0,0,22;1,0,21;2,0,21;2,1,21
141=1,0,22;1,1,22;2,0,22;3,0,21;3,0,22
142=0,0,23;0,1,21;0,1,22;0,1,23;1,1,21
143=0,5,21;0,5,22;1,5,21;2,5,21;2,6,21
144=2,3,22;3,3,22;3,4,22;3,5,21;3,5,22
145=2,7,23;3,6,21;3,7,21;3,7,22;3,7,23
146=1,5,22;2,5,22;2,6,22;2,7,21;2,7,22
147=0,2,22;0,2,23;1,2,23;2,1,23;2,2,23
148=2,0,23;3,0,23;3,1,23;3,2,22;3,2,23
149=0,3,22;0,4,22;1,4,22;2,4,22;2,4,23
150=1,3,22;1,3,23;1,4,23;1,5,23;2,5,23
151=0,6,22;0,6,23;0,6,24;0,7,22;1,6,24
152=1,6,23;1,7,23;2,6,23;3,6,22;3,6,23
153=0,1,25;1,0,23;1,1,23;1,1,24;1,1,25
154=0,3,23;0,3,24;0,3,25;0,4,23;1,3,25
155=2,2,25;2,3,23;2,3,24;2,3,25;3,3,23
156=2,5,25;3,4,23;3,5,23;3,5,24;3,5,25
157=0,5,23;0,5,24;1,5,24;2,4,24;2,5,24
158=0,7,23;0,7,24;1,7,24;2,6,24;2,7,24
159=0,0,24;0,1,24;0,2,24;0,2,25;1,0,24
160=2,0,24;2,0,25;2,0,26;2,1,24;3,0,26
161=2,2,24;3,0,24;3,0,25;3,1,24;3,2,24
162=0,4,24;1,2,24;1,2,25;1,3,24;1,4,24
163=2,1,25;3,1,25;3,2,25;3,3,24;3,3,25
164=1,4,25;1,5,25;2,4,25;3,4,24;3,4,25
165=2,7,26;3,6,24;3,7,24;3,7,25;3,7,26
166=0,0,25;1,0,25;1,0,26;1,0,27;1,1,27
167=0,4,25;0,4,26;0,4,27;0,5,25;1,4,27
